,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_length,consequents_length
80,frozenset({'donald'}),frozenset({'trump'}),0.2491971740526654,0.3448940269749518,0.24566473988439305,0.9858247422680412,2.8583410124978403,0.15971812301459132,46.21474864249411,0.8659353561783996,1,1
81,frozenset({'trump'}),frozenset({'donald'}),0.3448940269749518,0.2491971740526654,0.24566473988439305,0.7122905027932961,2.85834101249784,0.15971812301459132,2.6095865212538425,0.9924298346789697,1,1
296,frozenset({'clinton'}),"frozenset({'state', 'hillary'})",0.37443802183686575,0.22671804752729607,0.2145150931278099,0.5728987993138936,2.5269218995233214,0.12962323589697264,1.8105356557895036,0.9659500301245558,1,2
293,"frozenset({'state', 'hillary'})",frozenset({'clinton'}),0.22671804752729607,0.37443802183686575,0.2145150931278099,0.9461756373937678,2.5269218995233214,0.12962323589697264,11.622283067978243,0.7814246921439513,2,1
301,frozenset({'hillary'}),"frozenset({'clinton', 'trump'})",0.36416184971098264,0.23892100192678228,0.21708413615928066,0.5961199294532628,2.4950503498890595,0.1300782221628224,1.8844183052729888,0.9423883808499194,1,2
300,"frozenset({'clinton', 'trump'})",frozenset({'hillary'}),0.23892100192678228,0.36416184971098264,0.21708413615928066,0.9086021505376343,2.4950503498890595,0.1300782221628224,6.9568174090445325,0.7873118118492997,2,1
289,"frozenset({'say', 'hillary'})",frozenset({'clinton'}),0.2591522157996146,0.37443802183686575,0.23956326268464997,0.9244114002478316,2.4687968270769707,0.14252681964600172,8.275877317666401,0.8030588801305272,2,1
290,frozenset({'clinton'}),"frozenset({'say', 'hillary'})",0.37443802183686575,0.2591522157996146,0.23956326268464997,0.6397941680960549,2.4687968270769707,0.14252681964600172,2.056734562803927,0.9510558708732678,1,2
297,frozenset({'hillary'}),"frozenset({'clinton', 'state'})",0.36416184971098264,0.23956326268464997,0.2145150931278099,0.5890652557319225,2.4589131452402233,0.12727529226576972,1.8505048500334915,0.9331246597713662,1,2
292,"frozenset({'clinton', 'state'})",frozenset({'hillary'}),0.23956326268464997,0.36416184971098264,0.2145150931278099,0.8954423592493297,2.458913145240223,0.12727529226576972,6.081221283533418,0.780230923288558,2,1
299,"frozenset({'trump', 'hillary'})",frozenset({'clinton'}),0.23731535003211304,0.37443802183686575,0.21708413615928066,0.9147496617050067,2.4429935219119994,0.12822424594173287,7.33794129940565,0.7744565555901587,2,1
302,frozenset({'clinton'}),"frozenset({'trump', 'hillary'})",0.37443802183686575,0.23731535003211304,0.21708413615928066,0.5797598627787307,2.4429935219119994,0.12822424594173287,1.8148781670664413,0.9442167964715745,1,2
291,frozenset({'hillary'}),"frozenset({'say', 'clinton'})",0.36416184971098264,0.2703917790622993,0.23956326268464997,0.6578483245149912,2.432944991139766,0.14109689227467972,2.1324116560395687,0.9262978308554717,1,2
288,"frozenset({'say', 'clinton'})",frozenset({'hillary'}),0.2703917790622993,0.36416184971098264,0.23956326268464997,0.8859857482185274,2.432944991139766,0.14109689227467972,5.576830443159926,0.8072489899180607,2,1
27,frozenset({'hillary'}),frozenset({'clinton'}),0.36416184971098264,0.37443802183686575,0.32947976878612717,0.9047619047619048,2.416319529527077,0.19312372615189283,6.568400770712911,0.9218500797448166,1,1
26,frozenset({'clinton'}),frozenset({'hillary'}),0.37443802183686575,0.36416184971098264,0.32947976878612717,0.8799313893653516,2.416319529527077,0.19312372615189283,5.2956234516928165,0.9369934075434994,1,1
92,frozenset({'election'}),frozenset({'trump'}),0.329800899165061,0.3448940269749518,0.22800256904303148,0.6913339824732231,2.004482329070407,0.11425620883003357,2.122378026172633,0.7477152324584787,1,1
93,frozenset({'trump'}),frozenset({'election'}),0.3448940269749518,0.329800899165061,0.22800256904303148,0.6610800744878959,2.004482329070407,0.11425620883003357,1.977455588727266,0.7649420049710025,1,1
21,frozenset({'clinton'}),frozenset({'campaign'}),0.37443802183686575,0.27713551701991007,0.20423892100192678,0.5454545454545455,1.9681870852206893,0.10046884622825461,1.590301862556198,0.7863620807665982,1,1
20,frozenset({'campaign'}),frozenset({'clinton'}),0.27713551701991007,0.37443802183686575,0.20423892100192678,0.7369640787949016,1.968187085220689,0.10046884622825461,2.378237828875705,0.6805123648748705,1,1
256,frozenset({'state'}),frozenset({'united'}),0.4733461785484907,0.2241490044958253,0.2077713551701991,0.4389416553595658,1.958258330644252,0.10167128046665172,1.3828347852154212,0.9291533154898781,1,1
257,frozenset({'united'}),frozenset({'state'}),0.2241490044958253,0.4733461785484907,0.2077713551701991,0.9269340974212034,1.9582583306442518,0.10167128046665172,7.20792877202261,0.6307166545543875,1,1
298,"frozenset({'clinton', 'hillary'})",frozenset({'trump'}),0.32947976878612717,0.3448940269749518,0.21708413615928066,0.6588693957115009,1.9103531641020615,0.10344853189585723,1.9203963666391408,0.7106967965721283,2,1
303,frozenset({'trump'}),"frozenset({'clinton', 'hillary'})",0.3448940269749518,0.32947976878612717,0.21708413615928066,0.6294227188081937,1.9103531641020615,0.10344853189585723,1.8093937897580388,0.7274190741385312,1,2
106,frozenset({'hillary'}),frozenset({'trump'}),0.36416184971098264,0.3448940269749518,0.23731535003211304,0.6516754850088183,1.8894948420088087,0.11171810321464504,1.8807346162288723,0.7403739697379752,1,1
107,frozenset({'trump'}),frozenset({'hillary'}),0.3448940269749518,0.36416184971098264,0.23731535003211304,0.6880819366852887,1.8894948420088087,0.11171810321464504,2.038478129583298,0.7185982647456818,1,1
36,frozenset({'clinton'}),frozenset({'trump'}),0.37443802183686575,0.3448940269749518,0.23892100192678228,0.6380789022298456,1.850072347806089,0.10977956472293071,1.8100795368417208,0.7345085116248262,1,1
