Entity,Label,Count of NER
crown,ORG,8
246 percent,PERCENT,1
194 percent,PERCENT,2
508 percent,PERCENT,1
1960,DATE,17
2117,CARDINAL,1
1971 2015,DATE,1
debbie walsh,ORG,1
17 percent,PERCENT,31
early 1990s,DATE,18
15 percent,PERCENT,71
30 percent,PERCENT,48
9 percent,PERCENT,33
33 percent,PERCENT,23
six 20,CARDINAL,1
73,CARDINAL,13
49,CARDINAL,36
jennifer horn,PERSON,2
530,CARDINAL,6
bill obama,PERSON,1
two weeks,DATE,86
senate foreign relations committee planning,ORG,1
tennessee,GPE,42
sen bob,PERSON,1
june 30,DATE,25
60day,CARDINAL,7
ayatollah ali khamenei,PERSON,6
hassan rouhani,PERSON,14
several months,DATE,23
cosponsor sen bob menendez,PERSON,1
united nations presidential,ORG,1
60 days,DATE,17
nine,CARDINAL,156
3,CARDINAL,152
democrat,NORP,444
harry reid,PERSON,58
nevada,GPE,259
new jersey,GPE,288
earlier month,DATE,88
tim kaine,PERSON,56
virginia,GPE,292
1,CARDINAL,172
america,GPE,815
last 20 years recently 1994,DATE,1
94 percent,PERCENT,8
64 percent,PERCENT,17
1994,DATE,35
92 percent,PERCENT,9
americans,NORP,1707
past two decades,DATE,2
10 percent,PERCENT,77
21 percent,PERCENT,26
congress direct reflection,ORG,1
muslims,NORP,353
islamic,NORP,1046
zero,CARDINAL,87
pamela geller,PERSON,1
september,DATE,86
paul ryan,PERSON,132
muslim,NORP,328
last month,DATE,253
jeb bush,PERSON,472
syrian,NORP,422
christians,NORP,156
christian,NORP,232
biden,PERSON,15
mosque ground,ORG,1
500seat,CARDINAL,1
obama,GPE,630
sen john cornyn,PERSON,6
tex chairman committee,ORG,1
john feehery,PERSON,5
islam,NORP,81
catholics,NORP,27
jews,NORP,32
donald trump,PERSON,1035
2000,DATE,53
2006,DATE,70
september 11 20001,DATE,1
300,CARDINAL,34
one minute,TIME,4
3000,CARDINAL,31
billions dollars,MONEY,34
manhattan,GPE,75
vermont sen bernie,ORG,2
clintons,PERSON,95
texas,GPE,711
bill bratton,PERSON,3
hillary one,PERSON,2
bill de blasio,PERSON,7
wednesday,DATE,902
two years,DATE,98
capitol hill,ORG,188
2016,DATE,707
kentucky,GPE,218
2012,DATE,624
four years,DATE,103
eve 2016,DATE,1
annual,DATE,137
december,DATE,133
54,CARDINAL,52
67,CARDINAL,20
harry reid dnev,PERSON,10
mcconnell,PERSON,60
next two years,DATE,14
pledge avert edgeofthecliff,PERSON,1
moments,TIME,9
john boehner,PERSON,179
adam jentleson,PERSON,7
alben w barkley,ORG,1
franklin roosevelt,PERSON,9
george mitchell,PERSON,1
1989 1994,DATE,1
george,PERSON,12
1990,DATE,41
last two years,DATE,7
epa,ORG,88
recent years,DATE,109
2014,CARDINAL,64
nearly 30 million,CARDINAL,1
tens millions dollars,MONEY,14
number one,CARDINAL,8
14 16,CARDINAL,1
shortly election day fall,DATE,1
paul rky,PERSON,20
rand paul,PERSON,52
joe biden,PERSON,93
massachusetts,GPE,119
elizabeth warren,PERSON,84
mexican,NORP,155
weekly,DATE,80
bill kristol,PERSON,2
late thursday,TIME,14
social conservative group,ORG,1
friday,DATE,875
morning,TIME,353
abc,ORG,41
2016,CARDINAL,396
112,CARDINAL,6
jim bopp indiana,PERSON,1
bopp,PERSON,1
oregon,GPE,89
solomon yue,PERSON,1
roughly 80,CARDINAL,1
antiestablishment antiwashington,PERSON,1
sean,NORP,69
fifth,ORDINAL,90
republican national committee,ORG,58
indiana,GPE,330
recent days,DATE,88
mexican ancestry,ORG,2
mexico,GPE,162
mitch mcconnell,PERSON,142
illinois,GPE,146
mark kirk,PERSON,17
vermont,GPE,287
west virginia,GPE,81
fbi,ORG,498
nebraska,ORG,11
sen marco rubio,PERSON,22
rubio,PERSON,135
millions,CARDINAL,386
richmond,GPE,11
friday night,TIME,9
first half june,DATE,1
idiot house,ORG,1
recent months,DATE,58
corey lewandowski,PERSON,33
paul,PERSON,387
last week,DATE,589
rick wiley,PERSON,9
wiley,PERSON,3
sullivan robert costa,PERSON,1
weekend,DATE,138
last two months,DATE,4
megalomania,GPE,1
day 1973,DATE,13
richard nixon,PERSON,47
watergate,DATE,14
18,CARDINAL,90
florida,GPE,1082
hillary rodham clinton,PERSON,66
rubio rfla,PERSON,32
matthew dowd,PERSON,1
george w bushs 2000 2004,PERSON,1
45 million,CARDINAL,13
2013 52000,DATE,1
8 percent,PERCENT,33
2007,DATE,131
last full year,DATE,2
11 percent,PERCENT,35
late 1970s,DATE,5
70 percent,PERCENT,35
2009 2013,DATE,5
90 percent,PERCENT,48
lawrence mishel,PERSON,1
last year,DATE,412
new america foundation,ORG,5
rubio republicans,PERSON,1
47 percent,PERCENT,43
bushel levin,PERSON,1
george w,PERSON,55
neera tanden,ORG,6
last half 2014,DATE,1
william galston,PERSON,6
coming months,DATE,19
rick santorum,PERSON,55
pennsylvania,GPE,310
arkansas,GPE,160
mike,PERSON,200
new york,ORG,27
38000,CARDINAL,8
roughly 160000,CARDINAL,1
september 2010,DATE,4
janet,PERSON,1
early june,DATE,8
msusa weak,PERSON,1
chris gaffney,PERSON,1
fed,ORG,99
june 15,DATE,4
gaffney told,PERSON,1
4,CARDINAL,109
19,CARDINAL,52
cme,ORG,1
34,CARDINAL,59
60,CARDINAL,86
gaffney,PERSON,1
47,CARDINAL,44
paul ashworth,PERSON,3
320,CARDINAL,4
24 hours,TIME,38
hundreds thousands,CARDINAL,49
75000,CARDINAL,13
250000,CARDINAL,15
new national service reserve,ORG,1
fla,GPE,24
afghanistan,GPE,259
taliban,ORG,122
syria,GPE,807
911,CARDINAL,188
half force half,CARDINAL,1
afghan,NORP,112
russian,NORP,523
ukraine,GPE,13
next year,DATE,85
9800,CARDINAL,9
5500,CARDINAL,22
afghans,NORP,14
pakistan india nato,ORG,1
james jay carafano,PERSON,2
bernie,PERSON,281
four,CARDINAL,651
last two decades,DATE,5
election 1932,DATE,1
1964,CARDINAL,1
lyndon johnson,PERSON,11
1964,DATE,38
republicans party,ORG,6
lincoln,ORG,45
southern house,ORG,1
1980s 1995,DATE,1
first time 40 years,DATE,2
center republican party,ORG,1
center democratic party,ORG,1
1995,DATE,28
1910 1990s,DATE,1
control house,ORG,15
lee,PERSON,13
medicare,ORG,86
since 1920s,DATE,1
139 percent,PERCENT,2
2015,DATE,206
1990s,DATE,74
san francisco,GPE,69
1990s 2000s,DATE,2
alan abramowitz,PERSON,7
steven webster,PERSON,3
washington party,ORG,1
fall 2008,DATE,2
washington wall street corrupt alliance,ORG,1
11,CARDINAL,161
stalin obama hitler,PERSON,1
2009,DATE,151
decades,DATE,205
republican house,ORG,4
2006 2008,DATE,3
june 2015,DATE,8
months later september,DATE,1
1910,DATE,8
anticlinton,GPE,3
december 2014,DATE,11
antonio weiss,PERSON,1
treasury,ORG,22
weiss,ORG,6
jack lew,PERSON,8
warren,PERSON,103
asian,NORP,54
bernie sanders,PERSON,70
hillary meant,PERSON,2
around 1910 one 1910,DATE,1
us house,PERSON,7
1912,DATE,2
presidential nomination party,ORG,1
half,CARDINAL,264
howard taft,PERSON,1
teddy roosevelt,PERSON,2
woodrow wilson,PERSON,6
around 1910,DATE,1
hans noel,PERSON,3
george norris,PERSON,1
joe cannon,PERSON,1
thomas reed,PERSON,1
1890,CARDINAL,2
1910s 1920s,DATE,1
1920s,DATE,7
congress house,ORG,2
boehner alienate,ORG,1
45th,ORDINAL,13
1950s 1970s,DATE,1
two decades,DATE,40
2020,DATE,19
antimuhammad cartoon contest free,PERSON,1
pamela geller controversial organization,ORG,1
10000,CARDINAL,55
2005,DATE,91
two weeks ago,DATE,38
freespeech,NORP,1
hamas,ORG,15
mtv,ORG,3
philadelphia,GPE,190
gordon coonfield,PERSON,1
villanova university,ORG,1
coonfield,PERSON,1
nazi,NORP,10
linda sarsour,PERSON,1
arab american association,ORG,1
pamela geller victim,PERSON,1
2012,CARDINAL,143
christianity,NORP,27
middle east,LOC,275
charlie,PERSON,116
12,CARDINAL,156
sen bernie,PERSON,36
michael,PERSON,44
new york primaries,GPE,1
nearly three decades,DATE,5
six months ago,DATE,9
smithsonian,ORG,3
six days week,DATE,3
contests year,DATE,1
america irony america,FAC,1
arcana,PERSON,1
125000,CARDINAL,2
jeanne zaino,PERSON,1
day,DATE,162
election season,DATE,15
hawaii,GPE,21
dan hopkins,PERSON,1
39 percent,PERCENT,31
32 percent,PERCENT,31
23 percent,PERCENT,26
last year 2000,DATE,1
29 percent,PERCENT,13
28 percent,PERCENT,32
three million,CARDINAL,2
58 40 percent,PERCENT,1
58 42 percent,PERCENT,1
michigan,GPE,145
71 percent,PERCENT,11
eight 16,TIME,1
712,CARDINAL,3
4763,DATE,2
louisiana swept colorados state convention contest presidents,ORG,1
charles schumer,PERSON,3
zaino,PERSON,1
cbs,ORG,102
saddam hussein,PERSON,27
muslim immigration united states,ORG,1
muslims join jihad,ORG,1
2 million,CARDINAL,27
coming weeks,DATE,29
35 million,CARDINAL,14
wednesdays,DATE,57
53 percent,PERCENT,27
8,CARDINAL,60
7,CARDINAL,67
45 percent,PERCENT,49
56 percent,PERCENT,33
43 percent,PERCENT,44
51 percent,PERCENT,25
early 2013,DATE,9
september 2011,DATE,1
46 percent,PERCENT,30
african,NORP,179
americans 79 percent,PERCENT,1
68 percent,PERCENT,23
hispanics,NORP,64
67 percent,PERCENT,14
49 percent,PERCENT,30
35,CARDINAL,51
vermont sen bernie sanders ppp poll,ORG,1
august 28 30,DATE,1
452218,DATE,1
august 20 25,DATE,1
37 percent,PERCENT,26
38 percent,PERCENT,31
59 percent,PERCENT,20
55 percent,PERCENT,34
us clinton,PERSON,5
first 2016,DATE,1
san bernardino,GPE,47
new york times,GPE,16
metadata,ORG,1
us senate department state china,ORG,1
january 2001,DATE,1
999,CARDINAL,3
earlier week,DATE,100
fox news,ORG,664
two months ago,DATE,13
superior court,ORG,6
eleven months ago,DATE,1
cuban,NORP,152
intelligentsia,DATE,5
tinny,CARDINAL,1
every single day,DATE,7
44yearold,CARDINAL,6
west palm beach,GPE,4
third,ORDINAL,474
miami,GPE,60
english,LANGUAGE,26
spanish,NORP,69
dana milbanks,PERSON,20
loretta lynch,PERSON,42
africanamerican woman,ORG,1
lynch countrys,PERSON,1
africanamerican,ORG,15
five months,DATE,18
fivemonth,CARDINAL,1
5643,CARDINAL,1
democrats texas,ORG,1
lynch replace,ORG,1
eric holder,PERSON,21
senate judiciary committee,ORG,36
february,DATE,122
lynch senate,PERSON,1
eastern district,LOC,3
new york lynch,GPE,1
55,CARDINAL,35
tim heaphy,PERSON,1
justice department,ORG,116
america better lynch leading department jusice lorettas confirmation,ORG,1
haitian,NORP,10
25yearold,CARDINAL,16
north carolina lynch,GPE,1
60 miles,QUANTITY,7
north carolina,GPE,220
mother english,PERSON,1
early 1960s,DATE,4
judiciary panel,ORG,1
harvard college harvard law school speaking nomination,ORG,1
years ago,DATE,48
harvard,ORG,17
control news,ORG,1
conservatives,NORP,31
almost one,CARDINAL,5
mark zuckerberg,PERSON,10
flag zuckerberg,PERSON,1
several years ago,DATE,5
zuckerberg,PERSON,3
dan gillmor,PERSON,1
arizona state university author mediactive,ORG,1
orlando,GPE,106
zahi salman,PERSON,1
omar mateen,PERSON,6
early sunday,DATE,6
53,CARDINAL,24
senate intelligence committee,ORG,6
salman knowledge,PERSON,1
peter king,PERSON,3
msnbc,ORG,84
29,CARDINAL,54
buddy dyer,PERSON,1
around evening,TIME,1
james comey,PERSON,34
last december,DATE,17
carter,PERSON,27
african american,NORP,35
tsarnaev brothers responsible,ORG,1
boston,GPE,84
matthew gentili,PERSON,1
apps grindr jackd,PERSON,1
brady,PERSON,16
