Entity,Label,Count of NER
monday several weeks,DATE,1
justin,ORG,11
jimmy buffett,PERSON,1
jon bon,PERSON,3
paul mccartney,PERSON,1
143,CARDINAL,8
64 days,DATE,1
labor day,DATE,5
ohio iowa,GPE,4
bernie sanders home,ORG,1
cleveland quad cities industrial,ORG,1
276 days,DATE,1
this 257 days,DATE,1
nick merrill,PERSON,14
election day 8,DATE,1
huma abedin,PERSON,20
anthony weiner,PERSON,6
nearly 10,CARDINAL,4
1952,DATE,3
nebraska,WORK_OF_ART,2
omaha,GPE,6
postabc news,ORG,23
jennifer palmieri,PERSON,14
lukewarm audience,ORG,1
cincinnati,GPE,20
american legion convention,ORG,1
huma abedin clintons,PERSON,1
vatican,ORG,8
1004,DATE,1
sylvia poggioli,PERSON,2
later thursday,TIME,10
rome,GPE,22
david gibson,PERSON,1
james martin,PERSON,1
editor large jesuit magazine america,ORG,1
william levada,PERSON,1
scott neuman,PERSON,1
campbell head catholic,PERSON,1
lobby network,PERSON,1
npr time,ORG,1
first days,DATE,5
feb 17 2009,DATE,1
donald reid,PERSON,1
260 miles,QUANTITY,2
james b,PERSON,2
68,CARDINAL,17
last march,DATE,5
sullivan us,ORG,1
feb 23,DATE,1
november 2008,DATE,3
jan 13 2009,DATE,1
eight days later,DATE,2
three years earlier years,DATE,1
one year earlier,DATE,1
24 lukens responded evening,TIME,1
desk abedin mills,ORG,1
brian fallon lukens,PERSON,1
kennedy little,PERSON,1
feb 13,DATE,4
jan 28 2009,DATE,1
gen david h petraeus,ORG,1
decade earlier,DATE,2
feb 17,DATE,2
feb 24,DATE,1
vienna va,FAC,1
middle east europe,LOC,1
early march,DATE,5
eric boswell,PERSON,1
nine days later,DATE,2
first two months,DATE,2
venafi inc cybersecurity,ORG,1
29 2009  two months,DATE,1
kevin bocek,PERSON,1
jason fossen computersecurity,PERSON,1
sans institute,ORG,1
bryan,PERSON,3
1 2015,DATE,1
justice department exchange,ORG,1
new york times post,ORG,1
62320,CARDINAL,1
296 week nearly 1300 month,DATE,1
abedin,ORG,23
haiti state department,ORG,1
104,CARDINAL,3
hamid karzai,PERSON,2
bash cia,ORG,1
sunday march 29 2009,DATE,1
sullivan,ORG,1
feb 10 2010,DATE,1
sullivan clinton,PERSON,1
one day,DATE,37
josé miguel insulza,PERSON,1
early june 17 2011,DATE,1
june 28 2011,DATE,1
december 2012,DATE,8
house select committee benghazi,ORG,1
july 2014,DATE,11
summer 2014,DATE,4
28 2014,DATE,1
madeleine k albright condoleezza rice colin l powell,PERSON,1
albright rice,PERSON,1
2001 2005,DATE,1
powell,PERSON,4
5 2014,DATE,1
almost 32000,CARDINAL,1
296,CARDINAL,4
10 2015,DATE,1
general state department,ORG,1
rutah member,PERSON,1
section 1924,LAW,2
national archives records administration,ORG,1
200805,DATE,1
departments records,ORG,1
2071,DATE,1
litigation national archives records administration,ORG,1
19 2015,DATE,1
rudolph contreras,PERSON,1
august 2011,DATE,5
stephen mull,PERSON,1
state department produce records,ORG,1
147,CARDINAL,7
year 2012,DATE,3
vermont negative20,PERSON,1
npr,ORG,48
2016 2012s,DATE,1
around 60 percent,PERCENT,2
around 45 percent,PERCENT,1
four eight years ago,DATE,1
qatar,GPE,20
catholic church,ORG,7
cnbc boston,ORG,1
nearly 40 percent,PERCENT,6
january year,DATE,5
year earlier,DATE,4
midwest,LOC,21
september year earlier,DATE,1
04 percent,PERCENT,1
past 12 months,DATE,3
396 percent,PERCENT,5
39 million,CARDINAL,5
quarter 100000,DATE,1
oct 15,DATE,2
nearly 19 million,CARDINAL,2
bush marco,PERSON,1
60 70 percent,PERCENT,2
oct 27 2014,DATE,1
26 2015,DATE,1
oct 23 2006,DATE,1
22 2007,DATE,1
30 years,DATE,37
27 trillion,CARDINAL,2
mark zuckerburgs,PERSON,1
mark zuckerbergs,PERSON,3
marco rubio bill,PERSON,2
80 billion,CARDINAL,2
367 trillion,MONEY,1
every year,DATE,20
439 billion,MONEY,1
average past 40 years,DATE,1
earlier wednesday,TIME,9
16day,CARDINAL,2
george pataki,PERSON,11
south korea germany,GPE,1
africa china,LOC,1
city university new york,ORG,1
hellebrandt,ORG,1
mauro peterson institute international economics,ORG,1
2003 2013,DATE,1
123 percent,PERCENT,2
2035,DATE,2
post lynch,ORG,1
56 43,CARDINAL,1
kelly ayotte,PERSON,6
cochran,ORG,2
maine jeff,PERSON,1
orrin hatch,PERSON,6
ron johnson,PERSON,16
portman ohio,ORG,1
hours earlier,TIME,3
lynch us,ORG,1
rala,PERSON,4
1956,DATE,5
sen patrick,PERSON,4
democrat judiciary committee,ORG,1
joseph,PERSON,8
fifth day,DATE,1
20 miles,QUANTITY,4
peter shumlin,PERSON,2
several hours,TIME,13
seven years,DATE,20
jennifer freeman,PERSON,1
son tobey mitchell,ORG,1
paige mitchell,PERSON,2
wednesday 95,DATE,1
tom fuentes,PERSON,2
jeff hall,PERSON,1
city university,ORG,2
dannemora,ORG,1
friday five hours,TIME,1
lenny depaul,PERSON,1
doublebrick wall,PERSON,2
24inch,CARDINAL,2
ernesto ernie,PERSON,1
2002 2013,DATE,2
2013 2011,DATE,1
2002 matt,QUANTITY,1
27 hours,TIME,3
lee bates,PERSON,1
20yearold,CARDINAL,7
robert mcculloch,PERSON,2
jeffrey williams,PERSON,2
williams,PERSON,82
300000,CARDINAL,14
louis court,ORG,1
january 2014,DATE,14
bishop derrick robinson,PERSON,1
kingdom destiny,GPE,1
williams williams,PERSON,1
st louis suburb justice department,ORG,1
st louis county,GPE,6
calamity putin,PERSON,1
two days later,DATE,4
putin hugo,PERSON,1
decades centuries,DATE,1
james,PERSON,4
gerald ford,PERSON,20
ford,PERSON,5
ford,ORG,40
michael gerson,PERSON,7
jeffrey p bezos,ORG,1
fcc,ORG,5
fcc sec,PERSON,1
john mccains,PERSON,11
north 350,CARDINAL,1
smith memorial foundation,ORG,1
whine,PERSON,1
him kaine,PERSON,1
new york trumps,GPE,1
al gores,PERSON,2
thentexas,GPE,2
kellogg retired army,ORG,1
rudolph w giuliani,PERSON,5
jennifer palmieri clinton,PERSON,1
rky,ORG,27
l ginsberg,PERSON,1
jones,PERSON,1
ginsberg,PERSON,1
bad night,TIME,2
national committee,ORG,9
jenna johnson,PERSON,12
charlotte krissah,PERSON,1
juliet,PERSON,1
jose delreal karoun,PERSON,1
demirjian washington,PERSON,1
middle east asia,LOC,3
singapore obama,PERSON,1
12nation,CARDINAL,3
pakistan,GPE,40
ashburn,PERSON,1
khans,NORP,32
hourlong remarks,PERSON,1
wedge republican party,ORG,1
richard hanna rny,PERSON,1
muslim american,ORG,3
hanna,ORG,2
humayun,PERSON,1
2004 age,DATE,1
khizr khan,PERSON,13
ghazala khan,PERSON,8
mccain senate armed services committee,ORG,1
khans,PERSON,1
patricia smith,PERSON,4
brian kilmeade,PERSON,1
vietnam,EVENT,32
kim davis,PERSON,42
last thursday,DATE,9
five days,DATE,22
15minute,CARDINAL,4
davis,ORG,2
joe valenzano,PERSON,2
valenzano,PERSON,1
john allen jr crux,PERSON,1
catholic news,ORG,2
doug laycock,PERSON,1
elizabeth buerlin,PERSON,1
new republic,GPE,2
lesbian catholic,NORP,1
ways ministry,ORG,1
judy fitzpatrick,PERSON,1
résumés celebrity,PERSON,1
2016s first,DATE,1
january 14,DATE,1
6 pm,TIME,7
live 9 pm,TIME,1
less 10 miles,QUANTITY,2
state union,ORG,5
nikki haley,FAC,11
bmw volvo,PRODUCT,1
1861,DATE,2
obama poststate,PERSON,1
bernardino,DATE,39
million dollar,MONEY,2
south carolinas,LOC,9
james l petrigu,PERSON,1
johnny john ellis,PERSON,1
two hours,TIME,25
stanford universitys,ORG,11
830 pm,TIME,3
930 pm et,TIME,1
tuesday hours,TIME,1
okaloosa island,GPE,1
eglin air force base base,ORG,1
andy bourland,PERSON,1
north south,LOC,1
santa rosa,FAC,1
midday,TIME,10
spokeswoman coast guard,ORG,1
jasmine porterfield,PERSON,1
gen martin dempsey,PERSON,9
air force coast guard,ORG,1
eglin,ORG,2
approximately 100,CARDINAL,2
barry morris,ORG,2
marines corps special operations command,ORG,1
eglin spokeswoman sara vidoni,PERSON,1
uh60,PRODUCT,3
1244th,ORG,1
hammond louisiana,ORG,1
louisiana army national guard,ORG,1
camp lejeune army,ORG,1
army national guard,ORG,1
louisiana part,ORG,1
1115,DATE,2
louisiana national guard,ORG,3
gen glenn curtis,PERSON,1
several thousand combined hours,QUANTITY,1
navys sh60,ORG,1
mh60,CARDINAL,1
hh60,PRODUCT,1
173 mph,QUANTITY,1
koch soros bezos,PERSON,1
approximately 20 percent,PERCENT,1
united v fec hill,ORG,1
zuckerbergs,ORG,1
john oliver,PERSON,1
davids,PERSON,1
kochs,GPE,5
hillary support,PERSON,1
last spring,DATE,11
george soros,PERSON,4
usa soros,PERSON,1
jeff bezos,PERSON,3
washington post 2013,ORG,1
55 billion,CARDINAL,3
28000,CARDINAL,7
matt drudge,PERSON,5
john f harris call,PERSON,1
2004,CARDINAL,13
drudge,GPE,1
roger stone,PERSON,14
hour half,DATE,1
bashar alassads,PERSON,6
obama week,DATE,1
putin part,PERSON,2
putin question,PERSON,1
4 years,DATE,2
putin  opened,PERSON,1
past month,DATE,16
chair un security council,ORG,1
sunni arab,NORP,8
past year,DATE,41
bashar alassad,PERSON,46
isil,PERSON,20
david cameron,PERSON,28
brazilian,NORP,6
dilma rousseff,PERSON,1
7000,CARDINAL,6
latin america,LOC,25
obama putin,PERSON,1
crimea,ORG,2
early last year,DATE,5
narendra,PERSON,5
coming decades,DATE,5
forceson,ORG,1
raúl castro,PERSON,4
kazakhstan,GPE,1
nursultan nazarbayev,PERSON,2
post2020,PERSON,1
175,CARDINAL,3
2022,DATE,4
tim,PERSON,28
gop party,ORG,1
50000,CARDINAL,25
wednesday hours,TIME,3
doug mcmillon,PERSON,1
dwight hill,PERSON,1
mike pence,MONEY,7
bill oesterle,PERSON,1
mitch daniels oesterle,ORG,1
jason rahlan,PERSON,1
nondiscrimination end week,DATE,1
hillary rodham,PERSON,16
chuck grassley riowa,PERSON,4
60000,CARDINAL,13
late last year,DATE,13
august 2009,DATE,2
richard holbrooke,PERSON,1
abedin,PERSON,3
jeffrey feltman,PERSON,1
sen george mitchell,PERSON,1
mideast,LOC,15
metaxas,GPE,8
last christmas,DATE,1
eric metaxas,PERSON,3
robert bartley,PERSON,1
article 470000,LAW,1
9000,CARDINAL,4
alan thornbury,PERSON,1
koine greek,PERSON,1
romans,NORP,4
jesus disputes,PERSON,1
george gilder,PERSON,1
jesus,PERSON,14
uncle jimmy,PERSON,1
thirty,CARDINAL,4
three years ago,DATE,22
midwest communities,LOC,1
christina taylor,PERSON,1
later years,DATE,4
worst day,DATE,2
december 2012 days later,DATE,1
april 2013,DATE,9
another year,DATE,6
church charleston south carolina,ORG,1
massacre community college,ORG,1
burwell,PERSON,5
june 29,DATE,5
25 days,DATE,4
huffington post leaders republican party,ORG,1
house direct jurisdiction health care,ORG,1
nearly 30,CARDINAL,4
burwell,ORG,24
huffington post republican leaders convened,ORG,1
avik roy manhattan institute,ORG,1
rick,PERSON,22
philip klein,PERSON,2
washington examiner,PERSON,1
johnson spokesperson,PERSON,1
months ago,DATE,26
anthony kennedy,PERSON,22
roughly 15,CARDINAL,2
hugh hewitt,PERSON,8
cleveland justice department reach policing,ORG,1
137shot,CARDINAL,1
cleveland police department,ORG,4
calvin williams,PERSON,1
1500member,CARDINAL,1
michael brown baltimore,PERSON,1
patrolman michael brelo,PERSON,1
shot rookie patrolman,ORG,1
koch network,PERSON,4
riowa group,ORG,1
sens marco,PERSON,4
semiannual,DATE,1
david charles koch cruz rubio paul,PERSON,1
abc news,ORG,33
jonathan karl,PERSON,3
12000,CARDINAL,9
25 million,CARDINAL,21
juan williams,PERSON,5
hill,ORG,8
hillcom click,PERSON,1
postabc,GPE,9
nearly 70 percent,PERCENT,5
89 percent,PERCENT,7
77 percent,PERCENT,11
palin,GPE,24
marco rubio fla,PERSON,2
barry goldwaterstyle,PERSON,1
susana martinez,PERSON,3
tampa pick,PERSON,1
condoleezza rice rice,PERSON,1
vermont sen bernie sanders back,ORG,1
warner virginia,ORG,1
ed rendell,PERSON,3
julian castro,PERSON,7
xavier becerra,PERSON,1
kaine castro,PERSON,1
warren juan williams,PERSON,1
first 100 days,DATE,12
day week,DATE,3
monday two,DATE,1
thousand,CARDINAL,17
tim russert,PERSON,5
mike pence,PERSON,20
mormon,ORG,22
backup michelle,PERSON,1
next two weeks,DATE,11
graham example,PERSON,1
2008,CARDINAL,14
jimmy carter,PERSON,30
nearly forty years,DATE,1
thomas friedman,PERSON,1
administration state department,ORG,1
jen psaki,PERSON,14
mark halperin,PERSON,2
focus group,ORG,1
bill burton,PERSON,4
chair democratic national committee,ORG,2
carly white house,ORG,1
kennedy orrin hatch,PERSON,1
chuck schumer,PERSON,13
21 billion,CARDINAL,2
night day,DATE,1
niagara,PERSON,1
gaza,ORG,1
bill richardson,PERSON,2
alliances eu key asian,PERSON,1
africa latin america,NORP,1
chris dodd,PERSON,1
paul begala,PERSON,1
sec,ORG,6
next week,DATE,132
roughly 1 3,CARDINAL,2
nearly 40,CARDINAL,6
1 4,DATE,1
primary clinton,PERSON,5
15 minutes,TIME,11
nevertheless clinton,PERSON,1
jake sullivan,PERSON,8
last week later,DATE,1
sacramento,GPE,7
41 billion,CARDINAL,1
290,CARDINAL,7
774,CARDINAL,2
push clinton,PERSON,1
nearly twothirds,CARDINAL,5
louisville lexington,PERSON,2
scott clement,PERSON,4
jose delreal,PERSON,2
vermont,PERSON,10
martin omalley instigator,PERSON,1
flight 804,PRODUCT,2
66,CARDINAL,24
cairo,GPE,33
80,CARDINAL,27
mediterranean,LOC,7
airbus,ORG,19
early thursday morning,TIME,1
alwatan,ORG,1
hesham abdelhamid,PERSON,2
forensics department,ORG,1
kin security,ORG,1
greek island,LOC,4
8000 10000 feet,QUANTITY,1
azmy head,PERSON,1
national air navigation services company,ORG,1
37000 feet,QUANTITY,3
nearly minute,TIME,2
kammenos,ORG,3
10000 feet,QUANTITY,2
greek egyptian,NORP,1
320,PRODUCT,3
253,CARDINAL,3
24000 feet,QUANTITY,1
2011 2014,DATE,6
left least 12,CARDINAL,1
kouachi cherif,PERSON,1
early 30s,DATE,2
yemeni,NORP,20
18 months,DATE,9
ottawa canada,ORG,2
sydney australia,ORG,1
fox news department,ORG,1
al qaedas,PERSON,15
north africa,GPE,4
american federation teachers executive council,ORG,1
16million,CARDINAL,1
weingarten clinton,PERSON,1
years union,DATE,1
syria war,EVENT,1
30year,CARDINAL,2
fox lake ill police force,ORG,1
charles joseph joe gliniewicz,PERSON,1
52,CARDINAL,23
55 miles,QUANTITY,1
lake county,GPE,2
dozens gathered hours,TIME,1
dan raminick,PERSON,1
22yearold,CARDINAL,10
sgt christopher,PERSON,1
donny,PERSON,1
52yearold,CARDINAL,3
joe,GPE,1
gina maria 40yearold,PERSON,1
26 year,DATE,1
washington senate,ORG,2
6332,CARDINAL,1
michael bennet colo tom carper,PERSON,1
del bob casey pa,PERSON,1
claire mccaskill,PERSON,2
tom udall,PERSON,1
mark warner,PERSON,1
twothirds,NORP,9
266 153,CARDINAL,1
nebraska supreme court,ORG,1
eric schultz,PERSON,11
keystone xl,PERSON,1
latin americans,NORP,1
mit brown university,ORG,1
latin american,NORP,20
castilla mit ben,PERSON,1
wouldbe,DATE,8
next 905 percent,DATE,1
668 percent,PERCENT,1
416 percent,PERCENT,1
canadians,NORP,3
99 percent,PERCENT,14
dol,PERSON,1
4 months,DATE,1
57 percent,PERCENT,31
2 years,DATE,2
veterans administration,ORG,2
eric shinseki,PERSON,6
veterans america,ORG,1
paul rieckhoff,PERSON,1
afghanistan veterans america,ORG,2
ann kirkpatrick,PERSON,3
senate committee,ORG,2
john kirby,PERSON,18
december 2013,DATE,10
nearly every day,DATE,1
press corps kirby,ORG,1
victoria nuland,PERSON,5
new york times administration,ORG,1
james rosen fox news,PERSON,1
kirby,DATE,3
glitch,PERSON,1
jen request,PERSON,1
kirby,GPE,2
kirby,PERSON,11
271000,CARDINAL,2
onemonth,DATE,2
bloomberg news,ORG,4
fridays,DATE,36
180000,DATE,1
congress week federal reserve,ORG,1
labor department,ORG,6
142000,CARDINAL,1
137000,CARDINAL,1
9cent,CARDINAL,1
2520,DATE,1
hourly,TIME,21
269000 58 million,MONEY,1
bernie sanders democratic primary,ORG,1
300delegate,GPE,1
930 pm,TIME,1
response democratic party weekends events,ORG,1
kyle kondik,PERSON,2
half kentuckys,PERSON,1
timothy stanley,PERSON,1
year recent months,DATE,1
late last week,DATE,8
emwazi,NORP,3
saudi money,PERSON,1
49,DATE,2
49 50,PERCENT,1
early sunday,TIME,1
orlando nightclub,ORG,3
sunday afternoon,TIME,1
amaq news agency,ORG,1
2 sunday ended hours later,TIME,1
adam schiff,PERSON,1
omar mir,PERSON,1
mateen,DATE,1
fox news mateen,ORG,1
abu bakr,PERSON,12
2013 2014,DATE,9
ron hopper,PERSON,2
syria al qaeda,ORG,1
monar abu salha,PERSON,1
homeland security committee,ORG,9
mike mccaul,PERSON,1
fort pierce fla,FAC,1
michael cheatham,PERSON,1
rick scott,PERSON,7
orange county,GPE,7
1140,CARDINAL,1
john mina,PERSON,2
orlando police department,ORG,1
4072464357,CARDINAL,1
nearly 15 years,DATE,1
roma mina,ORG,1
30yearold,CARDINAL,1
jon alamo,PERSON,1
matthew dean,PERSON,3
carpetbombing islamic state group,ORG,1
frederick mayer,PERSON,1
state union address,ORG,1
duke,PERSON,1
steve hassey,PERSON,1
last november,DATE,13
benghazi,PERSON,1
yesterdays house benghazi committee,ORG,1
trey gowdy,PERSON,3
sidney blumenthal longtime,PERSON,1
blumenthal clinton,PERSON,1
clinton clinton,PERSON,14
blumenthal loop,PERSON,1
house clinton,PERSON,2
blumenthal,PERSON,4
blumenthal democrats,PERSON,1
tammy duckworth,PERSON,6
gowdy benghazi committee point conservative,ORG,1
xi jinping,PERSON,4
john barrasso,PERSON,7
barrasso sen jim inhofe rokla,PERSON,1
three dozen,CARDINAL,6
3 billion,CARDINAL,5
kyoto,GPE,9
obama microsoft,ORG,1
george soros saudi prince,PERSON,1
bin talal,PERSON,1
jack chinas,ORG,1
turkish airspace,ORG,3
179,CARDINAL,7
nearly 180,CARDINAL,1
idaho,GPE,22
cdc,ORG,7
us food drug administration,ORG,1
seattle hospital,ORG,1
virginia mason medical center,ORG,1
alex kallen,PERSON,1
cdcs division healthcare,ORG,1
la times,ORG,2
vox blog,PERSON,1
gifs clintons,PERSON,1
michael wertheim,PERSON,1
teddy,CARDINAL,2
obama america,FAC,2
45 million 33 million,MONEY,1
jenna golden,PERSON,1
clinton trumps,PERSON,4
june last year,DATE,1
nearly 85 million,CARDINAL,1
346 million,CARDINAL,1
31 million,CARDINAL,2
last week october,DATE,1
brandon silverman,PERSON,1
jake horowitz,PERSON,1
humayun khan,PERSON,12
football clinton,PERSON,1
8yearold,CARDINAL,5
wwii,EVENT,3
involved least 100,CARDINAL,1
almost every year late 1980s,DATE,1
13000,CARDINAL,9
8578,CARDINAL,1
757,PRODUCT,10
jupiter fla,FAC,1
50 million usa,MONEY,1
1580,DATE,1
1747,DATE,1
early 2015,DATE,7
morris ellison,PERSON,1
115 million,CARDINAL,3
jay jacknin,PERSON,1
50 million,CARDINAL,10
jupiter fla,ORG,1
ritzcarlton golf club,ORG,1
137million 2015,DATE,1
285 acres,QUANTITY,1
12 million,CARDINAL,23
september 2015,DATE,10
90,CARDINAL,28
fernando gonzalez,PERSON,1
140acre,CARDINAL,1
143 million,CARDINAL,2
151 million,CARDINAL,1
16th,ORDINAL,4
2005 24 million,DATE,1
almost 2 million,CARDINAL,1
471000,CARDINAL,1
47000,CARDINAL,2
manor homeowner,PERSON,1
steve cohen,PERSON,2
journal news,ORG,1
1 billion,CARDINAL,22
10 billion,MONEY,9
night democratic party,ORG,1
democratic national convention philadelphia,ORG,2
26 2016,DATE,1
later tuesday,TIME,5
nearly century,DATE,1
1919,DATE,3
ohio rep marcia fudge,ORG,1
africanamerican first,ORG,1
warrensville,PERSON,1
2000 2008,DATE,3
helm convention party,ORG,1
donna,PERSON,2
interim democratic national committee chair debbie,ORG,1
clinton state roll call maryland sen barbara mikulski,ORG,1
1987,DATE,16
2001 2009,DATE,1
46,CARDINAL,39
albright countrys,PERSON,1
position clinton,PERSON,1
job albright,PERSON,1
night point party,ORG,1
michelle obama nations,PERSON,1
rick tyler doubleddown,PERSON,1
tyler,ORG,1
martha mccallum,PERSON,1
todd harris,PERSON,5
marcos,PERSON,7
earlier thursday,DATE,11
carson washington,ORG,1
john gibson,PERSON,1
two donald trumps one,QUANTITY,1
putin hillary clinton,PERSON,1
wednesday sept 7 2016,DATE,1
wednesday night,TIME,19
30 minutes,TIME,7
coin flip clinton,ORG,1
september 2002,DATE,1
two months election day,DATE,2
2012 8 percent,PERCENT,1
middlebury college,ORG,2
matthew dickinson,PERSON,3
earlier wednesday,DATE,1
defense,ORG,3
william cohen,PERSON,1
tens billions dollars,MONEY,2
jill colvin erica werner,PERSON,1
jonathan lemire,PERSON,1
paul ryans,PERSON,6
many 200 days year,DATE,1
241080,CARDINAL,1
ann ann marie,PERSON,1
atlantic,LOC,24
mid40s,PERSON,5
jason chaffetz rutah daniel webster rfla,ORG,1
roughly 218,CARDINAL,1
darrell issa rcalif,ORG,1
adam brandon,PERSON,1
3040,CARDINAL,1
webster bloc,WORK_OF_ART,1
nearly 250,CARDINAL,1
walter jones rnc,PERSON,1
cathy mcmorris,PERSON,7
bob livingston,PERSON,2
livingston,PERSON,1
affair jones,PERSON,2
foxnewscom elaborate jones,ORG,1
fox news chad pergram foxnewscoms cody derespina,ORG,1
14th,CARDINAL,3
chuck,PERSON,26
500 billion,MONEY,5
fantasy republican party,ORG,1
gop conservative movement,ORG,1
charles krauthammers,PERSON,2
obama described,PERSON,1
previous weeks,DATE,3
wells fargo center america,ORG,1
monday morning,TIME,7
amanda paulson,PERSON,1
1950s,DATE,15
romanian,NORP,1
bad dnc,PERSON,1
33000,CARDINAL,8
one year ago,DATE,2
nonnews,ORG,2
overran city,GPE,2
american air support,ORG,1
maliki,PERSON,2
graham rsc,PERSON,18
chris justsitdownandshutup,PERSON,1
nearly two thirds,CARDINAL,2
phenomenon ben carson,PERSON,1
iraq war position willingness deemphasize armed conflict fiorina,EVENT,1
55yearold,CARDINAL,4
wisconsin walker lines,ORG,1
putin ayatollahs iran,PERSON,1
bobby,PERSON,36
graham south carolina,PERSON,6
graham grim,PERSON,1
washington fiorina promotion,ORG,1
scott walkers,PERSON,3
april 12th last year 18 months ago,DATE,1
15 months ago,DATE,2
18 15 months,DATE,1
five weeks,DATE,8
today year ago,DATE,1
nine weeks,DATE,3
labor day nine weeks,DATE,1
joe biden jeb bush,PERSON,1
past 43,DATE,1
future kentucky,ORG,1
paul 49,PERSON,1
42,CARDINAL,22
clinton warren,PERSON,3
61,CARDINAL,30
warren 51,PERSON,1
sixth 7 6,DATE,1
age 65 22,DATE,1
vermont,ORG,1
sen jim webb,PERSON,6
martin omalley remain,PERSON,1
fortytwo percent,PERCENT,1
87,CARDINAL,15
75,CARDINAL,19
february 1215 2015,DATE,1
1027,CARDINAL,2
436,CARDINAL,1
475,CARDINAL,6
atlantic city,LOC,8
david muir,PERSON,3
texas cruz,PERSON,1
house rubio,PERSON,1
next three days,DATE,1
many months,DATE,9
every sign happening days,DATE,1
andrew hall,PERSON,1
michael miller,PERSON,1
john gambling clinton,PERSON,1
bronx,GPE,10
bloomberg,PERSON,19
morocco abc news,ORG,1
joyce barr,PERSON,1
secretary bureau administration,ORG,1
nike,ORG,3
bernie heckles nike,ORG,1
four decades,DATE,10
sen bernie sanders dvt,PERSON,1
national journal,ORG,1
124 billion,CARDINAL,1
1965,CARDINAL,3
deerfield academy mount hermon,ORG,1
461,CARDINAL,2
492 percent,PERCENT,1
295,CARDINAL,2
611 percent,PERCENT,1
wapo,ORG,3
least month,DATE,1
1 5,CARDINAL,8
christie national journal,ORG,1
twoday,DATE,7
sen marco rubio wednesday,PERSON,1
mark hutchison,PERSON,1
nevadahutchinson,PERSON,1
senate reelection committee,ORG,2
100980,DATE,1
south skip,LOC,1
new hampshire union,GPE,5
26916,CARDINAL,1
chuck norris,PERSON,3
rma,EVENT,1
floyd brown,PERSON,1
van susteren,PERSON,5
dallas county,PERSON,1
rick snyder,PERSON,13
rubio rfla new,PERSON,1
new america,FAC,1
rick perry rtexas,PERSON,1
scottish,NORP,1
speaker house,ORG,4
326,CARDINAL,1
joe mantegna,PERSON,1
robert irvine,PERSON,1
billy corgan,PERSON,1
johnson american idol,PERSON,1
beau davidson,PERSON,1
kira kazantsev,PERSON,1
army,ORG,12
chris melendez,ORG,1
marine corps equestrian color guard us army,ORG,1
90s,CARDINAL,16
another eight years,DATE,2
spokeswoman marie harf,PERSON,6
several times past week,DATE,1
usama bin laden,PERSON,6
richard grenell,PERSON,3
united nations george w bush,PERSON,1
rtexas interview fox news,ORG,1
obama apologist radical islamic,ORG,1
1044,DATE,1
feb 810,DATE,1
gitlin,PERSON,1
code gitlin,PERSON,1
30plus years,DATE,1
lessmediasavvy,PERSON,1
abound gitlin,PERSON,1
darting slogan slogan gitlin,PERSON,1
39minute,CARDINAL,1
affront,ORG,3
march 17,DATE,8
60 232,CARDINAL,1
obamas democratic party,ORG,1
elie wiesel,PERSON,3
86,CARDINAL,8
sara netanyahu,PERSON,1
switzerland,GPE,29
6 million,CARDINAL,15
45 million 75 percent,MONEY,1
middle america,LOC,8
16tweet,CARDINAL,1
justice department news,ORG,1
11 days,DATE,5
comey transparent july,ORG,1
halloween night,TIME,1
paul manaforts,PERSON,3
peter alexander,PERSON,1
4741,DATE,2
monday friday saturday,DATE,1
nationwide55,PERSON,1
postabc,ORG,31
james comeys,PERSON,8
alex seitzwald,PERSON,1
missouri democratic party,ORG,1
roy temple,PERSON,1
ian,NORP,5
01 percent,PERCENT,7
bullseye clinton,PERSON,1
dade city,GPE,2
300 pm,TIME,2
615 pm,TIME,3
845 pm,QUANTITY,1
prussia,GPE,1
eau claire wi,PERSON,1
800 pm,TIME,4
430 pm,QUANTITY,1
joe biden north carolina,PERSON,1
hillary knocks bernie,PERSON,2
less week,DATE,8
far hour,TIME,1
rubio cruz sharpen,PERSON,1
houston hosted,ORG,1
kelly texas,ORG,1
caucusesflorida,PRODUCT,1
palm beach fla,GPE,3
william daniel johnson,PERSON,1
american freedom party,ORG,1
america europe,LOC,1
15 day,DATE,1
millions millions dollars,MONEY,3
michael liittschwager,PERSON,1
bernie sanders south carolina,ORG,1
two days row,DATE,1
sybrina,NORP,1
hillary denver,PERSON,1
7 pm 3010,TIME,1
delegateselection processin,ORG,1
next tuesday,DATE,21
41 million,CARDINAL,2
33 million,CARDINAL,2
american enterprise institute brookings institute,ORG,1
13 february,DATE,1
gerry,PERSON,1
92 million,CARDINAL,1
la salle university,ORG,1
harvard university,ORG,6
muslimamerican,NORP,5
skepticism nato alliance,ORG,1
george hw,PERSON,8
ross,PERSON,7
638,CARDINAL,1
john f kennedy,PERSON,11
616,CARDINAL,2
michael dimmock,PERSON,1
years 1996 2000,DATE,1
summer eight 10,DATE,1
quarter century eight 10,DATE,1
two decades one 10,DATE,1
four 10,DATE,1
michael mcdonald political scientist,PERSON,1
jan leighley american university,ORG,1
mcdonald,PERSON,2
jason brennan,PERSON,1
georgetown university,ORG,5
blocs battleground,PERSON,1
nov 8,DATE,15
usa todaysuffolk university,ORG,1
twothirds,PERSON,1
eight 10,CARDINAL,2
earlier ever year,DATE,1
arizona republic detroit news,ORG,1
american enterprise institute usa,ORG,1
late october,DATE,5
ryan trumps,PERSON,1
last seven weeks,DATE,1
